State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Total_Power_Parity,Urban_Households,Female_Workers,Male_Workers,Total_Education,Literate_Education,Illiterate_Education,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Rural_Households,Urban_Households,sex_ratio,literacy_rate
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,346227,348,88933,138310,469752,1736438,1378531,357907,256855,447993,379469,156156,79766,45341,12951,1038985,654816,37635,280,341,1673,98,2789,1048990,444899,241776,952,346227,88933,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,268517,348,20189,77979,246864,950796,575240,375556,119027,163277,161153,59039,47398,22267,3079,327322,597392,1688,431,57,724,19,867,583436,226525,118102,437,268517,20189,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,211758,348,16504,130223,186577,716377,521393,194984,79107,138838,136371,80804,55399,28006,2868,655052,13475,8711,297,911,167,6315,1205,434221,169630,82051,231,211758,16504,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,299852,348,77163,192544,368013,1324504,983760,340744,143189,243607,301287,139813,89500,59380,6984,1198401,64526,52968,2261,4673,1055,46,2405,767147,371864,186774,550,299852,77163,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,228610,348,39504,95455,267118,1032511,657440,375071,124700,213510,183904,73683,39885,18294,3464,347878,579929,77862,771,194,477,103,969,650509,239831,117427,416,228610,39504,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,292893,348,34190,170824,309104,1079697,820800,258897,117393,223902,261192,111145,66197,36887,4084,917426,90312,50582,1131,3863,530,1347,1697,629153,289085,148244,406,292893,34190,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,159215,348,16202,43448,170792,673348,500042,173306,88596,177984,139029,50056,28504,11608,4265,251194,397653,8480,84,490,247,636,512,419921,156243,82841,291,159215,16202,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,286330,348,80824,177872,320746,1101864,892694,209170,99454,201680,295444,128050,97025,62608,8433,1008219,54684,21051,1540,2378,719,578,3087,604908,315550,171062,736,286330,80824,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,390596,348,43849,200462,428492,1535620,1142942,392678,163849,290097,353861,154831,118849,55011,6444,877495,601784,33297,319,185,1330,55,3077,895775,408232,212740,795,390596,43849,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,215691,348,37185,137248,246193,986320,676227,310093,109324,212224,199289,93137,40602,18225,3426,766000,20290,157789,370,6260,397,3568,1639,618633,233739,103123,818,215691,37185,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,261945,348,32695,79373,319798,1239293,935508,303785,198059,333885,257931,76685,39637,21408,7903,521962,692489,11990,114,446,524,110,1051,779850,284368,163990,478,261945,32695,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,204896,348,17115,104809,236322,916607,576006,340601,116899,166013,154715,78788,39571,17287,2733,529068,252271,101091,93,1718,396,123,2382,552671,224715,108956,800,204896,17115,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,293239,348,34694,147745,282250,1071358,795681,275677,126950,212080,217497,107326,82885,44212,4731,797130,193476,46217,412,1074,250,2410,1168,639385,268872,133615,265,293239,34694,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,674999,348,124186,213270,766728,2873116,1999919,873197,392616,638088,576214,199792,115864,66994,10351,1225246,1563203,26844,3036,1073,1162,61,3143,1778277,678034,366112,1345,674999,124186,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,210706,348,28238,57421,210202,795589,606629,188960,75866,141690,192771,81507,71734,39368,3693,491582,277488,429,62,27,1004,9,1038,442061,211320,117809,449,210706,28238,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,483325,348,64528,233411,537195,1925180,1298039,627141,216097,416218,377653,141373,90385,49901,6412,1422824,350536,138166,1363,5088,1003,221,4909,1159991,501239,261648,1232,483325,64528,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,290704,348,90910,190573,366623,1327333,910252,417081,150893,266717,276292,109805,61040,38152,7353,1181347,48373,76877,1999,16228,837,395,1873,799874,352158,175377,520,290704,90910,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,659061,2035,44213,361502,708391,3139606,1485840,1653766,625357,426625,206161,112955,68177,39627,6938,1593525,1207442,4116,371,187,1910,63,3955,1872943,612012,324091,2523,659061,44213,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,428291,2215,49006,238613,599157,2618129,1833998,784131,559512,482199,302662,253142,136783,91371,8329,2291133,237353,2218,295,334,775,19,7946,1626969,564571,340948,7585,428291,49006,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,551789,8119,427343,559215,1015864,3431716,2611982,819734,381695,686271,422964,537936,310762,253253,19101,2545438,786677,15991,5142,309093,30981,1005,6955,2211996,909771,571932,7583,551789,427343,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,425604,1738,18492,253263,517817,2094476,1214645,879831,408188,386707,196305,120653,63103,35767,3922,1772655,250925,6138,139,113,94,1035,3664,1291235,462080,278863,2585,425604,18492,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,594377,2354,139248,222837,715345,3064885,1822334,1242551,577601,484502,291877,207136,144783,101836,14599,2554330,407348,2209,402,229,276,57,5690,1951688,644874,369996,3983,594377,139248,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,522527,2814,130634,243472,740056,3116132,1976417,1139715,614644,524322,300767,247079,154643,118843,16119,2487866,537098,3556,415,180,1050,32,7569,1952879,674660,397654,12573,522527,130634,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,434559,2600,77368,182210,640283,3177665,2172525,1005140,581580,605307,367059,313509,163303,131137,10630,2518216,197819,2165,544,647,1472,48,7496,1722387,613072,387389,5559,434559,77368,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,299252,1556,35405,136142,402180,1802491,1344677,457814,331675,420187,256124,178044,89306,64117,5224,1591454,105423,2125,248,5090,97,57,1858,1074754,375372,253998,2228,299252,35405,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,907174,3514,95539,275713,947927,4231743,2028545,2203198,672797,490534,332382,224622,152540,129597,26073,3042729,881476,3534,832,245,236,101,8232,2535344,865971,529314,6756,907174,95539,91.0,46.0
